"CRASH_ID","DAMAGED_PROPERTY"
14845769,"PEDESTRIAN CROSSING SIGN"
14845791,"LIGHT POLE #363802"
14845838,"STREET LIGHT POLE"
14845838,"TWO TREES"
14845838,"STOP SIGN"
14845841,"GUARD RAIL"
14845905,"BUSINESS DOOR AND GATE"
14845950,"SCOTT AND WHITE SIGN"
14845970,"STOP SIGN"
14845977,"RUTS IN GRASS/LOT CAUSED BY CRASH"
14846096,"SIGNAL LIGHT POLE"
14846096,"FIRE HYDRANT"
14846413,"MAIL BOX/SECURITY LIGHT"
14846496,"SIGN"
14846500,"METAL FENCE & MAILBOX"
14846500,"METAL FENCE & MAILBOX"
14846535,"PTZ CAMERA"
14846564,"FENCE & POST"
14846666,"40 FEET OF GUARDRAIL DAMAGED"
14846714,"ELECTRIC POLE"
14846714,"BUSH"
14846714,"MAIL BOX"
14846756,"UNITED STORE - BOLLARD"
14846876,"BARBED WIRE FENCE"
14846876,"CATTLE GAURD"
14846876,"METAL SIGN"
14846969,"LANDSCAPE ROCK"
14846979,"UTILITY POLE"
14847011,"SIGN"
14847044,"CENTER CABLE DIVIDER"
14847092,"FENCE POST"
14847170,"FENCE"
14847209,"METAL PIPE FENCE"
14847212,"HUNTING HIGH RACK"
14847241,"METAL FENCE"
14847248,"8 FOOT GAME FENCE"
14847327,"CABLE BARRERI SYSTEM; 5 POSTS"
14847354,"UTILITY POLE AND WIRES"
14847354,"CHRISTMAS DECORATIONS"
14847360,"""NO THRU TRUCK TRAFFIC"" SIGN"
14847459,"WATER METER BOX"
14847494,"CONCRETE OVERPASS"
14847536,"FENCE"
14847536,"FENCE AND TREE"
14847596,"DESTROYED FENCE"
14847625,"RAN OVER GUARD RAIL"
14847669,"GUARDRAIL"
14847706,"FENCE, PIPES"
14847710,"30' GUARDRAIL & 4 POLES"
14847712,"RAN OVER LIGHT POLE"
14847783,"INTERSTATE HIGHWAY SIGN"
14847856,"7 CABLE POSTS"
14847859,"CABLE BARRIER"
14847870,"WOODEN TELEPHONE POLE"
14847892,"BRICK MAIL BOX"
14847923,"FENCE"
14847926,"METAL OVERHANG SHED"
14847926,"UTILITY POLE AND CABLES"
14848008,"GUARD RAIL/POSTS"
14848295,"METAL PIPE FENCE"
14848358,"ROCK WALL"
14848378,"TREE"
14848393,"UTILITY POLE"
14848415,"LANDSCAPE-TREES SOIL"
14848422,"PROPERTY FENCE"
14848444,"CONCRETE WALL"
14848472,"BARBED WIRE FENCE"
14848516,"ELECTRIC POLE 28245243802"
14848542,"FENCE AROUND PASTURE"
14848557,"LIGHT POLE"
14848583,"HWY DESIGNATION SIGN"
14848660,"2X POLES"
14848660,"UNKNOWN SIGN"
14848668,"BLACK HEIFER"
14848797,"SERVICE SIGN KNOCKED DOWN"
14848808,"FENCE"
14848834,"DAMAGE TO FENCE FOR LIVESTOCK"
14848926,"WOODEN FENCE"
14848959,"LIGHT POLE"
14848997,"FENCE"
14849033,"TURN SIGN"
14849043,"LIGHT POLE"
14849047,"FENCE"
14849087,"RAN OVER STREET SIGN"
14849093,"STOP SIGN"
14849105,"CONCRETE WALL"
14849199,"CABLE BARRIER"
14849498,"FENCE"
14849543,"STREET SIGN"
14849549,"UTILITY POST MINOR DAMAGE"
14849558,"SIGN/BILLBOARD"
14849566,"GUARD RAIL"
14849568,"FENCE"
14849572,"TREE"
14849578,"GUARDRAIL"
14849629,"SIGN KNOCKED DOWN DUE TO CRASH"
14849675,"CABLE BARRIER SYSTEM"
14849706,"CEMENT CULVERT"
14849727,"CONCRETE JERSEY BARRIER WALL"
14849764,"LIGHT POLE"
14849766,"JERSEY BARRIER WALL"
14849783,"PECAN TREE"
14849853,"CONCRETE BARRIER"
14849939,"IRON GATE"
14850035,"IRON RENCE"
14850080,"CEMENT WALL"
14850213,"ONE WAY ROAD SIGN"
14850352,"HUMP AHEAD SIGN"
14850352,"GUARD RAIL"
14850361,"IRON ROD FENCE"
14850393,"LARGE UTILITY POLE"
14850393,"UTILITY POLE"
14850469,"POWER POLE"
14850469,"STOP SIGN"
14850585,"MAILBOX"
14850592,"CONCRETE POLES"
14850592,"TREE"
14850676,"WOOD STREET POLE"
14850700,"GATE /POLES/BUILDING"
14850708,"WOODEN FENCE, MARQUIS SIGN"
14850717,"MINOR SCRAPE TO METAL LIGHT POLE"
14850761,"PEDESTRIAN TRAFFIC CONTROL DEVICE"
14850764,"1O FT OF GUARDRAIL"
14850780,"FENCE"
14850780,"SIGN"
14850783,"STOP SIGN AND ONE WAY SIGN"
14850791,"10 FEET OF CHAIN-LINK FENCE"
14850792,"30 FEET OF PLASTIC FENCE"
14850792,"GAS METER"
14850821,"ROAD SIGNS"
14850927,"TREE/STATUE/SHRUB"
14850978,"IRON FENCE"
14851090,"CONCRETE GUARD RAIL"
14851122,"WARNING SIGNS"
14851135,"STOP SIGN"
14851138,"MAILBOX"
14851179,"YIELD SIGNS"
14851277,"SCHOOL ZONE METER"
14851295,"5FT OF FENCE LINE DAMAGED W/ METAL POST"
14851334,"ONCOR POLE"
14851438,"STREET LIGHT"
14851438,"LIGHT POLE"
14851480,"RAIL ROAD ARM"
14851509,"TREE"
14851635,"BUSINESS NEXT IN LINE BARBER SHOP"
14851725,"DAMAGED TREE"
14851770,"GUARD CABLE AND POST"
14851823,"JERSEY BARRIER"
14851863,"GUARDRAIL"
14851892,"FENCE"
14851892,"HOUSE"
14851892,"FENCE"
14851892,"PLANTS"
14851909,"GUARD RAIL"
14851926,"RUBBER BARRIER"
14851941,"GUARD RAIL"
14851958,"LARGE TREE"
14851958,"CABLE BOX"
14851964,"ROCK WALL"
14851989,"DAMAGE TO LANDSCAPE"
14851995,"METAL GUARDRAIL"
14852012,"ROAD SIDE WIRE"
14852045,"BUSINESS WALL"
14852074,"15 FOOT POLE SIGN"
14852075,"BARRICADE"
14852092,"SIGNAL LIGHT POLE"
14852111,"STRUCK STREET SIGN"
14852112,"CENTER GUARD WIRE/ RAIL"
14852167,"TWO TREES"
14852178,"GUARD RAIL"
14852220,"ONEWAY/YIELD SIGN"
14852262,"FENCE"
14852263,"SIGN"
14852284,"10 FT OF BARBED WIRE FENCE"
14852288,"100' TRIPLE WIRE CABLE BARRIER"
14852289,"HOUSE DAMAGE"
14852289,"FENCE DAMAGE"
14852293,"EXIT SIGN"
14852295,"ROAD SIGN"
14852295,"FENCE"
14852303,"POLE"
14852328,"GUARD RAIL"
14852333,"BARBED WIRE FENCE"
14852344,"METAL PIPE FENCE"
14852389,"PUMP STATION #3"
14852427,"FENCE"
14852481,"CONCRETE TRASH CAN"
14852503,"HIGH FENCE"
14852511,"CONCRETE BARRIER DAMAGE"
14852519,"TXDOT SIGN, FLOOD GUAGE SIGN"
14852519,"30YDS OF FENCE DAMAGE"
14852522,"CAUTIONARY SIGN"
14852522,"WIRE FENCE"
14852549,"CHAIN LINK"
14852550,"CABLE BARRIER"
14852553,"CABLE BARRIER"
14852572,"CABLE BARRIER"
14852595,"ELECTRIC POLE"
14852595,"1 SET OF RIMS AND 4 FURNANCES"
14852659,"MAILBOX"
14852675,"TELEPHONE STABLE WIRE $250"
14852685,"CROSSWALK SIGNAL POLE AT INTERSECTION"
14852708,"OUTBACK TRAVEL TRAILER"
14852708,"SPORTSMAN TRAVEL TRAILER"
14852708,"SPORTSMAN TRAVEL TRAILER"
14852709,"LANDSCAPED MEDIAN"
14852723,"DENT IN FRONT FENDER"
14852740,"ROADWAY SIGN"
14852740,"ROADWAY SIGN"
14852761,"STREET LIGHT POLE"
14852772,"STREET SIGN"
14852772,"BUSH"
14852783,"JERSEY BARRIER"
14852793,"CURVE ARROW SIGN"
14852800,"THIRTEEN STEEL CABLE SUPPORT POSTS."
14852808,"BUILDING WALL"
14852813,"150' CYCLONE FENCING"
14852914,"STOP SIGN"
14852917,"RAIL WIRE POLE"
14852925,"POLE"
14852928,"TREE/LANDSCAPING"
14852937,"TELEPHONE POLE"
14852964,"GARBAGE CAN, MAIL BOX, CONCRETE CULVERT"
14852967,"GUARDRAIL"
14853070,"5 (FIVE) CRASHGARD SAND BARREL"
14853091,"END TERMINAL, GUARDRAIL, 6 WOODEN POSTS"
14853255,"FENCE"
14853485,"SIGNAL LIGHT POLE"
14853497,"STREET SIGN POST"
14853595,"STRUCK CURB"
14853598,"TRAFFIC SIGNAL POST"
14853703,"LANDSCAPING"
14853921,"FENCE"
14853947,"15 FEET OF GUARD RAIL"
14853972,"DAMAGED GUARDRAIL"
14853977,"BROKEN CONCRETE SEWER MANHOLE"
14853977,"BROKEN CONCRETE CULVERT"
14854024,"CROSS WALK SIGNAL"
14854045,"UTILITY POLE"
14854045,"METAL TRASHCAN"
14854127,"DESTROYED  MAIL BOXES"
14854142,"MAIL BOX"
14854146,"CHAIN-LINK PROPERTY FENCE-75 FT"
14854146,"STOP SIGN"
14854146,"UTILITY POLE & CABLES"
14854146,"HOUSE ROOF/POWER CABLES"
14854157,"LIGHT POST"
14854186,"STREET SIGN"
14854186,"LIGHT POLE"
14854217,"GAURDRAIL"
14854219,"SCUFFED BARRIER WALL"
14854223,"CRASH BARRELS LANE 14"
14854243,"STOP SIGN AND DIRECTIONAL SIGN"
14854265,"BARBED WIRE FENCE"
14854274,"POWER POLE"
14854280,"CONCRETE GUARDRAIL"
14854292,"GUARD RAIL"
14854300,"GUARDRAIL & POSTS"
14854317,"ROAD SIGN"
14854343,"CABLE BARRIER"
14854392,"CABLE BARRIER"
14854461,"FET WIRE FENCE"
14854475,"GUARDRAIL"
14854562,"GRASS AND TREE"
14854570,"FENCE & GATE"
14854572,"FENCE"
14854622,"ELECTRICAL BOX"
14854622,"WOODEN FENNCR"
14854652,"CONCRETE BARRIER"
14854654,"YELLOW WATER BARRICADE"
14854661,"MAIL BOX"
14854667,"""DIP"" SIGN"
14854667,"BRICK MAILBOX"
14854672,"CENTERPOINT ENERGY LIGHT POLE # 308598"
14854674,"6 STRAND BARBED WIRE FENCE & POSTS"
14854740,"HEIGHT WARNING SIGN"
14854740,"CONCRETE CURB"
14854794,"WOOD POLE"
14854804,"CONCRETE OVERPASS SUPPORT BEAM"
14854810,"BARB WIRE FENCE"
14854858,"BARB WIRE FENCE AND POST"
14854891,"CONCRETE BARRIER"
14854909,"STREET SIGN/STOP SIGN"
14854927,"BARBED WIRE FENCE"
14854960,"CRASH BARRIER/CONCRETE WALL"
14854985,"MAILBOX & WOODEN POST"
14855049,"TREES/SHRUBS"
14855095,"UTILITY POLE"
14855112,"DAMAGED METAL GATE"
14855114,"LARGE METAL PIPE"
14855146,"UTILITY POLE"
14855146,"UTILITY POLE"
14855154,"FIRE HYDRANT"
14855279,"MOTORIZED WHEELCHAIR"
14855313,"SKEETER BOAT (STEY2019E4)"
14855422,"UTILITY POLE/ TRANSFORMER"
14855435,"FENCE"
14855439,"FENCE"
14855453,"BARRIER WALL"
14855528,"DRIVEWAY"
14855534,"SIGN DAMAGE"
14855543,"LIGHT POLE"
14855593,"TREE"
14855604,"GUARD RAIL DAMAGE"
14855614,"VIA TRASH CAN"
14855623,"HANDICAPPED PARKING SPACE SIGN"
14855815,"DITCH"
14856076,"STOP SIGN"
14856077,"GUARD RAIL WAS STRUCK WITH CAR"
14856113,"RESIDENCE"
14856260,"FIRE HYDRANT/LANDSCAPING"
14856260,"UTILITY POLE #2510-199-6997"
14856324,"5909 SE 14TH"
14856484,"GUARDRAIL"
14856486,"PROPERTY FENCE"
14856588,"CROSS WALK SIGN"
14856806,"GRASS"
14856824,"METAL FENCE"
14856919,"CABLE BARRIER SYSTEM"
14856939,"BARBED WIRE FENCE"
14856939,"DIRECTIONAL SIGN"
14857066,"BARBED WIRE FENCE"
14857066,"STREET SIGN"
14857066,"CHAIN LINK FENCE"
14857175,"STOP SIGN"
14857202,"GUIDE WIRE"
14857221,"SIGN"
14857231,"CABLE BARRIER"
14857239,"GUARDRAIL"
14857312,"JERSEY WALL CONCRETE"
14857330,"CHAIN LINK FENCE"
14857346,"60' BARBED WIRE FENCE"
14857375,"YIELD SIGN"
14857403,"CONCRETE BARRIER"
14857426,"ROCK WALL"
14857454,"FENCE"
14857466,"METAL RIGHT TURN SIGN"
14857466,"METAL/WOOD GUARD RAIL, CEMENT CURB"
14857482,"UTILITY POLE"
14857482,"PRIVATE FENCE"
14857516,"WARNING SIGN AND POLE"
14857553,"CABLE BARRIER"
14857562,"FENCE"
14857562,"STOP SIGN"
14857565,"GUARD RAIL"
14857581,"20 FEET OF GUARD RAIL"
14857700,"TRAFFIC SIGN"
14857716,"RANCH STYLE FENCE"
14857759,"PARTIAL FENCE"
14857780,"METAL DIVIDER"
14857854,"BRICK MAILBOX DESTROYED"
14857876,"FENCE"
14857896,"WIRE FENCE"
14857896,"ELECTRIC WOOD POLE"
14857963,"ROAD SIGN"
14857963,"FENCE"
14858012,"FENCE AND H BRACE"
14858056,"TREE"
14858072,"CHURCH BUILDING"
14858072,"STREET SIGN"
14858160,"STREET SIGN"
14858184,"GUARDRAILL"
14858242,"UITLITY POLE"
14858292,"GUARD RAIL"
14858368,"WOODEN ELECTRIC POLE"
14858390,"FENCE"
14858418,"CONCRETE FENCE"
14858437,"CRASH BARRELS"
14858442,"AT&T  PEDESTAL"
14858450,"PEDESTRIAN CROSSING LIGHT"
14858453,"FIRE HYDRANT"
14858536,"METAL POLES"
14858578,"FENCE"
14858920,"LIGHT POLE"
14859027,"LIGHT POLE KNOCKED OVER"
14859064,"METAL GUARD RAIL"
14859108,"LIGHT POLE"
14859127,"CINDER BLOCK WALL"
14859172,"BROWN BRICK MAILBOX"
14859218,"ONCOR ELECTRIC POLE"
14859218,"AT&T TELEPHONE & INTERNET BOXES"
14859264,"FENCE"
14859265,"GUARD RAIL"
14859375,"WOOD FENCE"
14859390,"GUARDRAIL"
14859421,"UTILITY POLE  #09469"
14859452,"STEEL GUARD POSTS"
14859516,"SIGN"
14859529,"BRICK RETAINING WALL"
14859556,"WEST WALL OF BUILDING DAMAGED"
14859579,"TRAFFIC SIGN"
14859597,"CINDER BLOCK FENCE"
14859645,"MULTI UNIT MAILBOX"
14859669,"CHAIN LINK FENCE"
14859669,"TREE"
14859733,"NONE"
14859739,"STREET LIGHT POLE"
14859787,"HID SIGN"
14859799,"100 FT OF 8 FT TALL FENCE"
14859879,"GRASS MEDIAN"
14859879,"CONCETE GUARD RAIL"
14859886,"STOP SIGN"
14859887,"FENCE"
14859931,"DRAINAGE CULVERT"
14859957,"ENTRANCE GATE"
14860022,"FRONT STORE WALL-LA NUEVA DE ZACATECAS"
14860043,"CONCRETE/STONE CENTER MEDIAN"
14860054,"JERSEY BARRIER"
14860087,"SIGN & LANDSCAPING"
14860097,"TREE BROKEN IN HALF"
14860120,"1 METAL ATTINUATOR"
14860186,"METAL PIPE FENCE"
14860197,"CROSS WALK SIGN"
14860242,"FENCE"
14860298,"YIELD SIGN"
14860324,"FENCE"
14860347,"TREE"
14860374,"BARBED WIRE FENCE"
14860407,"FRONT YARD LAWN"
14860407,"METAL BARRIER WOOD POSTS"
14860429,"ROAD SIGN"
14860429,"PIPE FENCE"
14860456,"9531 SOUTHWEST FWY"
14860480,"BARRIER WALL"
14860502,"AT&T TELEPHONE POLE 0565"
14860539,"POWER LINE/POLE"
14860546,"BUILDING WALL"
14860561,"GRASS/YARD DAMAGE"
14860561,"TREE DAMAGE"
14860565,"CHAINLINK FENCE/BUSHES"
14860785,"HIRRICAN FENCE"
14860915,"LAWN"
14860983,"EXTERIOR BRICK WALL AND FRONT DOOR"
14861016,"DAMAGED CENTER MEDIAN"
14861068,"WOOD FENCE"
14861068,"WOOD FENCE"
14861068,"TELEPHONE POLE"
14861111,"LIGHT POLE"
14861133,"BARBED WIRE FENCE"
14861181,"CEMENT UTILITY POLE"
14861181,"CHAIN LINK FENCE/GATE"
14861241,"OVERPASS CLEARANCE"
14861247,"MAILBOX"
14861285,"LIGHT POLE"
14861335,"UTILITY POLE  #244020"
14861364,"CABLE BARRIER"
14861395,"MAILBOX"
14861602,"FENCE"
14861609,"CONCRETE BLOCK FENCE"
14861675,"POWER POLE"
14861698,"BARBWIRE FENCE"
14861722,"BRICK MAILBOX"
14861749,"WOODEN FENCE POST"
14861778,"FIRE HYDRANT"
14861778,"HOUSE"
14861791,"STRUCTURE WALL"
14861834,"ROAD SIGN DOWN"
14861853,"UTILITY POLE"
14861869,"SIGN POLE"
14861869,"WIRE POLE"
14861878,"TRAFFIC SIGNAL"
14861933,"NONE"
14862009,"GUARD RAIL"
14862018,"TRAFFIC SIGN"
14862023,"MEDIAN LANDSCAPE (TREES, SHRUBS, GRASS)"
14862028,"TREES"
14862049,"VALERO CONVENIENT STORE"
14862120,"CONCRETE JERSEY BARRIER"
14862181,"FENCE"
14862217,"METAL FENCE"
14862249,"BRICK SIGN"
14862307,"CABLE BARRIER"
14862660,"ROAD SIGN"
14862660,"FENCE"
14862755,"20 FT OF GUARDRAIL DAMAGE"
14862774,"DUMPSTER"
14862784,"GAS METER"
14862784,"CULVERT"
14862814,"75 FT. OF GUARD RAIL"
14862849,"GUARD RAIL"
14862895,"GUARD RAIL"
14862925,"TXDOT SIGN"
14863028,"DELINEATOR POST"
14863036,"2 COWS"
14863063,"HIGHWAY DESIGNATION SIGN"
14863063,"ONE WAY SIGN"
14863197,"GUARD RAIL"
14863226,"GATE"
14863283,"DART BUS SIGN"
14863283,"STREET SIGN"
14863283,"FIRE HYDRANT"
14863489,"GUARDRAIL"
14863493,"FENCE"
14863512,"BARB WIRE FENCE/POSTS"
14863560,"RESIDENCE WALL"
14863702,"BARBED WIRE FENCE"
14863748,"LIGHT POLE"
14863780,"MAILBOX"
14863813,"CRASH BARRELS"
14863852,"DAMAGED STREET LAMP"
14863916,"LIGT POLE"
14863927,"CABLE BARRIER"
14863954,"TRAFFIC LIGHT"
14864018,"GUARD RAIL POSTS"
14864018,"METAL GUARD RAIL"
14864085,"30 YARDS OF HIGH FENCE"
14864101,"GUARD RAIL"
14864142,"BARREL"
14864168,"JOHN DEER 1026R"
14864168,"1 STREET SIGN (RR 2241)"
14864179,"STOP SIGN, FIRE HYDRANT, LIGHT POLE"
14864191,"CAST IRON METAL FENCE"
14864203,"FENCE"
14864203,"FENCE"
14864364,"MAIL BOX"
14864427,"UTILITY POLE (#91349)"
14864486,"METAL ENTRY GATE"
14864617,"CONCRETE DRIVEWAY"
14864624,"FENCE"
14864643,"PARKING RAIL"
14864687,"I-10 IB, AT 610 SPLIT, MEDIAN BARREL"
14864714,"CHAIN LINK FENCE 6'X40'"
14864714,"NEON ENTRANCE SIGN DEMOLISHED"
14864718,"GUARDRAIL"
14864718,"RAILROAD STRUCTURE"
14864720,"GUARDRAIL"
14864745,"TWO WARNING/TRAFFIC SIGNS DAMAGED"
14864745,"GUARD RAIL DAMAGED"
14864759,"MAILBOX"
14864761,"BRICK SIGN AND PLUMBING"
14864775,"DAMAGE TO FENCE ON 19TH STREET SIDE"
14864819,"HOUSE/FENCE"
14864845,"STOP SIGN"
14864914,"PLASTIC BARRIER"
14864920,"STOP SIGN"
14864950,"DAMAGE TO FENCE"
14864985,"LIGHT POLE"
14865014,"AEP ELECTRICAL POST"
14865028,"PIPE FENCE"
14865028,"MAIL BOX"
14865035,"GUARDRAIL"
14865035,"PIPELINE MARKER"
14865035,"TWO BRIDGE PILLARS"
14865044,"DAMAGE TO GUARD RAIL"
14865045,"FENCE AND POLES"
14865141,"LIGHT POLE"
14865153,"GAURD RAIL"
14865230,"MISSOURI SIGN"
14865230,"SIGNAL POLE"
14865230,"STOP SIGN"
14865230,"POPLAR SIGN"
14865236,"STREET CURB"
14865249,"INFORMATION SIGN"
14865296,"BLACK METAL GATE"
14865300,"LIGHT POLE"
14865354,"BROKEN CONCRETE CURB"
14865374,"GUARDRAIL DAMAGE"
14865391,"TRAFFIC SIGN & CURB STRUCK"
14865409,"CENTER MEDIAN CABLES"
14865416,"STOP SIGN"
14865429,"SIGN/FENCE"
14865444,"GUARD RAIL"
14865484,"80 FT WIRE CABLE DAMAGE"
14865504,"DIRECTIONAL ARROW SIGN"
14865527,"SCHOOL ZONE LIGHT POLE"
14865548,"GATE"
14865588,"POLE, TRANSFORMERS, POWERLINES"
14865589,"MAIL BOX AND LANDSCAPING"
14865603,"GUARDRAIL"
14865620,"SECURITY LIGHT"
14865622,"FENCE/WALKWAY"
14865629,"15 FT BARRIER WALL CRASH CUSHION"
14865646,"BRIDGE GUARD RAIL"
14865646,"BARBED WIRE FENCE"
14865687,"WOOD AND WIRE FENCE"
14865718,"FENCE"
14865726,"GUARD RAIL"
14865773,"WOOD LIGHT POLE # 5464718691"
14865778,"STOP SIGN"
14865783,"BRICK MAILBOX"
14865798,"STEEL GATE/POSTS"
14865806,"WOOD/ BARBED WIRE FENCE"
14865814,"BARBED WIRE FENCE"
14865820,"WIRE FENCE AND METAL POST"
14865855,"CHAIN LINK FENCE"
14865884,"TREE"
14865892,"TELEPHONE POLE"
14865900,"FENCE"
14865901,"SIGNAL POLE"
14865929,"ROCK FENCE"
14865929,"HIGHLINE POLE"
14865953,"ELECTRICAL BOX"
14865953,"CRIME WATCH SIGN"
14865957,"CULVERT/ FENCE"
14865957,"FENCE"
14865989,"BARBED WIRE FENCE"
14866007,"FENCE"
14866013,"BARBED WIRED FENCE AND T POSTS"
14866020,"CABLE BARRIER"
14866022,"GUARD RAIL"
14866024,"CABLE BARRIER"
14866057,"CONCRETE BARRIER (PAINT TRANSFER)"
14866074,"MINOR COSMETIC DAMAGE TO WALL"
14866113,"ROAD SIGN"
14866142,"LARGE GOUGE MARKS IN ROADWAY"
14866157,"PIPE AND BARB WIRE FENCES"
14866246,"BROKEN STREET LIGHT"
14866246,"BROKEN WINDOW"
14866269,"FENCE"
14866273,"CONCRETE GUARD RAIL"
14866289,"BARBED WIRE FENCE"
14866305,"STOP & WARNING SIGN"
14866305,"UTILITY POLE"
14866333,"BARBED WIRE FENCE"
14866344,"CEDAR TREE"
14866344,"GAS LINE"
14866344,"SCADA SYSTEM-PRESSURE CONTROL BOX"
14866344,"GRASS"
14866344,"LAND SCAPE ROCKS"
14866353,"POWER POLE"
14866353,"METAL SIGN POLE AND SIGN"
14866362,"TELEPHONE POLE"
14866362,"CABLE BOX"
14866367,"MAIL BOX"
14866375,"BARBED WIRE FENCE"
14866400,"DAMAGED PRIVATE PROPERTY SIGN"
14866400,"APROX. 200 FT FENCE AND POSTS DAMAGE"
14866509,"TREE"
14866537,"STREET SIGN (SCHOOL CROSSING)"
14866543,"BARBED WIRE FENCE"
14866545,"MAILBOX"
14866559,"METRO SIGN"
14866559,"CONCRETE TRASH BEN"
14866559,"METRO SHELTER #8897"
14866566,"BARB WIRE FENCE"
14866581,"IRON ROD FENCE"
14866612,"PERIMETER FENCE"
14866629,"CABLE BARRIER"
14866642,"CABLE BARRIER"
14866644,"FENCE"
14866654,"LIGHT POLE"
14866658,"CHAIN LINK FENCE"
14866658,"STOP SIGN"
14866662,"40 FT. OF CHAIN LINKED FENCE  /PALM TREE"
14866680,"FIRE HYDRANT"
14866706,"BARRIER WALL"
14866707,"BARRIER WALL / STREET SURFACE"
14866716,"INSIDE BARRIER WALL"
14866725,"SCUFFS AND SCRAPES TO WALL"
14866920,"GATE"
14866934,"TRAFFIC LIGHT"
14866934,"LIGHT POLE"
14866943,"METAL FENCE"
14867030,"BRIDGE HEIGHT SIGN"
14867052,"TEMP CRASH BARIER"
