"CRASH_ID","UNIT_NBR","DRVR_LIC_RESTRIC_ID"
14840537,1,"UNKNOWN"
14840537,2,"OTHER/OUT OF STATE"
14840540,1,"NONE"
14840540,2,"NONE"
14840544,1,"NONE"
14840582,1,"NONE"
14840582,2,"NONE"
14840590,1,"NONE"
14840590,2,"WITH CORRECTIVE LENSES"
14840602,1,"NONE"
14840602,2,"NONE"
14840612,1,"NONE"
14840612,2,"WITH CORRECTIVE LENSES"
14840656,1,"NONE"
14840656,2,"NONE"
14840656,3,"NONE"
14840731,1,"NONE"
14840731,2,"NONE"
14840760,1,"NONE"
14840774,1,"NONE"
14840778,1,"NONE"
14840778,2,"NONE"
14840787,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14840803,1,"NONE"
14840803,2,"UNLICENSED"
14840819,1,"UNLICENSED"
14840819,2,"NONE"
14840821,1,"NONE"
14840829,1,"NONE"
14840833,1,"NONE"
14840833,2,"UNKNOWN"
14840841,1,"NONE"
14840841,2,"OTHER/OUT OF STATE"
14840841,3,"NONE"
14840841,4,"UNLICENSED"
14840875,1,"NONE"
14840901,1,"NONE"
14840905,1,"NONE"
14840908,1,"NONE"
14840911,1,"NONE"
14840911,2,"WITH CORRECTIVE LENSES"
14840919,1,"NONE"
14840921,1,"LOFS 21 OR OVER VEHICLE ABOVE CLASS C"
14840921,2,"WITH CORRECTIVE LENSES"
14840930,1,"NONE"
14840934,1,"WITH CORRECTIVE LENSES"
14840934,2,"NONE"
14840941,1,"WITH CORRECTIVE LENSES"
14840941,2,"NONE"
14840943,1,"UNLICENSED"
14840993,1,"WITH CORRECTIVE LENSES"
14840993,2,"WITH CORRECTIVE LENSES"
14840998,1,"NONE"
14841006,1,"NONE"
14841006,2,"NONE"
14841018,1,"NONE"
14841018,2,"NONE"
14841039,1,"NONE"
14841039,2,"NONE"
14841046,1,"WITH CORRECTIVE LENSES"
14841046,2,"NONE"
14841055,1,"NONE"
14841055,2,"UNLICENSED"
14841061,1,"NONE"
14841071,1,"WITH CORRECTIVE LENSES"
14841071,2,"NONE"
14841074,1,"UNLICENSED"
14841080,1,"NONE"
14841080,2,"UNLICENSED"
14841092,1,"NONE"
14841092,2,"UNLICENSED"
14841166,1,"NONE"
14841171,1,"NONE"
14841171,2,"WITH CORRECTIVE LENSES"
14841278,1,"WITH CORRECTIVE LENSES"
14841354,1,"WITH CORRECTIVE LENSES"
14841469,1,"NONE"
14841503,1,"NONE"
14841507,1,"WITH CORRECTIVE LENSES"
14841507,2,"WITH CORRECTIVE LENSES"
14841518,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14841518,2,"NONE"
14841522,1,"NONE"
14841528,1,"UNKNOWN"
14841528,2,"UNKNOWN"
14841547,1,"NONE"
14841547,2,"NONE"
14841554,1,"NONE"
14841554,2,"NONE"
14841592,1,"NONE"
14841592,2,"NONE"
14841617,1,"CDL INTRASTATE ONLY (EFF. END 12/31/2016)"
14841617,1,"STATED ON LICENSE"
14841617,2,"NONE"
14841632,1,"NONE"
14841632,2,"OTHER/OUT OF STATE"
14841715,1,"NONE"
14841715,2,"NONE"
14841717,1,"UNKNOWN"
14841717,2,"WITH CORRECTIVE LENSES"
14841722,1,"UNLICENSED"
14841722,2,"NONE"
14841728,1,"NONE"
14841737,1,"WITH CORRECTIVE LENSES"
14841764,1,"NONE"
14841764,2,"UNLICENSED"
14841764,3,"WITH CORRECTIVE LENSES"
14841772,1,"WITH CORRECTIVE LENSES"
14841772,2,"WITH CORRECTIVE LENSES"
14841772,3,"NONE"
14841794,1,"UNLICENSED"
14841801,1,"UNLICENSED"
14841802,1,"NONE"
14841806,1,"NONE"
14841809,1,"NONE"
14841830,1,"UNLICENSED"
14841830,2,"UNLICENSED"
14841851,1,"NONE"
14841851,2,"LOFS 21 OR OVER"
14841851,2,"MUST HOLD VALID LEARNER LIC. TO MM/DD/YY"
14841893,1,"NONE"
14841893,2,"WITH CORRECTIVE LENSES"
14841897,1,"WITH CORRECTIVE LENSES"
14841897,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14841897,2,"OTHER/OUT OF STATE"
14841905,1,"NONE"
14841936,1,"UNLICENSED"
14841936,2,"NONE"
14841944,1,"NONE"
14842022,1,"NONE"
14842078,1,"UNLICENSED"
14842078,2,"NONE"
14842081,1,"UNLICENSED"
14842083,1,"WITH CORRECTIVE LENSES"
14842083,2,"WITH CORRECTIVE LENSES"
14842086,1,"WITH CORRECTIVE LENSES"
14842122,1,"UNLICENSED"
14842122,2,"NONE"
14842133,1,"NONE"
14842133,2,"NONE"
14842133,3,"WITH CORRECTIVE LENSES"
14842135,1,"UNLICENSED"
14842135,2,"UNLICENSED"
14842140,1,"NONE"
14842140,2,"WITH CORRECTIVE LENSES"
14842144,1,"UNLICENSED"
14842144,2,"UNLICENSED"
14842150,1,"NONE"
14842170,1,"NONE"
14842170,2,"NONE"
14842183,1,"NONE"
14842183,2,"UNLICENSED"
14842185,1,"NONE"
14842185,2,"WITH CORRECTIVE LENSES"
14842185,3,"WITH CORRECTIVE LENSES"
14842185,4,"NONE"
14842187,1,"WITH CORRECTIVE LENSES"
14842187,2,"WITH CORRECTIVE LENSES"
14842191,1,"NONE"
14842191,2,"WITH CORRECTIVE LENSES"
14842195,1,"NONE"
14842197,1,"NONE"
14842197,2,"WITH CORRECTIVE LENSES"
14842205,1,"NONE"
14842205,2,"NONE"
14842205,3,"NONE"
14842205,4,"NONE"
14842235,1,"NONE"
14842235,2,"WITH CORRECTIVE LENSES"
14842239,1,"UNLICENSED"
14842252,1,"WITH CORRECTIVE LENSES"
14842252,2,"WITH CORRECTIVE LENSES"
14842252,3,"WITH CORRECTIVE LENSES"
14842263,1,"NONE"
14842263,2,"WITH CORRECTIVE LENSES"
14842263,3,"NONE"
14842278,1,"NONE"
14842298,1,"UNLICENSED"
14842298,2,"NONE"
14842301,1,"NONE"
14842301,2,"WITH CORRECTIVE LENSES"
14842310,1,"UNLICENSED"
14842350,1,"UNLICENSED"
14842350,2,"NONE"
14842355,1,"WITH CORRECTIVE LENSES"
14842355,2,"WITH CORRECTIVE LENSES"
14842360,1,"NONE"
14842360,2,"WITH CORRECTIVE LENSES"
14842382,1,"NONE"
14842382,2,"NONE"
14842389,1,"NONE"
14842389,2,"UNLICENSED"
14842405,1,"NONE"
14842405,2,"WITH CORRECTIVE LENSES"
14842423,1,"NO AIR BRAKE EQUIPPED CMV"
14842445,1,"NONE"
14842445,2,"NONE"
14842445,3,"NONE"
14842449,1,"NONE"
14842449,2,"NONE"
14842453,1,"NONE"
14842453,2,"WITH CORRECTIVE LENSES"
14842522,1,"UNLICENSED"
14842522,2,"WITH CORRECTIVE LENSES"
14842529,1,"NONE"
14842529,2,"NONE"
14842539,1,"NONE"
14842539,2,"NONE"
14842539,3,"NONE"
14842539,4,"NONE"
14842543,1,"NONE"
14842543,2,"NONE"
14842543,3,"NONE"
14842543,4,"NONE"
14842583,1,"WITH CORRECTIVE LENSES"
14842592,1,"NONE"
14842592,2,"NONE"
14842595,1,"WITH CORRECTIVE LENSES"
14842595,2,"NONE"
14842602,1,"NONE"
14842602,2,"WITH CORRECTIVE LENSES"
14842619,1,"NONE"
14842619,2,"NONE"
14842649,1,"NONE"
14842650,1,"WITH CORRECTIVE LENSES"
14842665,1,"UNLICENSED"
14842665,2,"WITH CORRECTIVE LENSES"
14842678,1,"UNKNOWN"
14842690,1,"NONE"
14842690,2,"NONE"
14842720,1,"NONE"
14842720,2,"UNLICENSED"
14842733,1,"NONE"
14842733,2,"NONE"
14842739,1,"NONE"
14842739,2,"NONE"
14842750,1,"NONE"
14842757,1,"NONE"
14842757,2,"NONE"
14842768,1,"UNLICENSED"
14842768,2,"OTHER/OUT OF STATE"
14842773,1,"WITH CORRECTIVE LENSES"
14842773,2,"NONE"
14842776,1,"NONE"
14842776,2,"NONE"
14842791,1,"NONE"
14842791,2,"NONE"
14842794,1,"OTHER/OUT OF STATE"
14842794,2,"LOFS 21 OR OVER"
14842817,1,"NONE"
14842817,2,"NONE"
14842824,1,"NONE"
14842824,2,"NONE"
14842829,1,"NONE"
14842829,2,"WITH CORRECTIVE LENSES"
14842830,1,"OTHER/OUT OF STATE"
14842830,2,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14842839,1,"NONE"
14842839,2,"NONE"
14842875,1,"NONE"
14842875,2,"UNLICENSED"
14842878,1,"NONE"
14842878,2,"UNLICENSED"
14842916,1,"WITH CORRECTIVE LENSES"
14842916,3,"NONE"
14842916,4,"NONE"
14842923,1,"NONE"
14842923,2,"NONE"
14842933,1,"UNLICENSED"
14842933,2,"WITH CORRECTIVE LENSES"
14842933,3,"NONE"
14842940,1,"NONE"
14842940,2,"NONE"
14842940,3,"NONE"
14842947,1,"NONE"
14842947,2,"NONE"
14842952,1,"UNKNOWN"
14842952,2,"NONE"
14842953,1,"NONE"
14842963,1,"UNLICENSED"
14842987,1,"WITH CORRECTIVE LENSES"
14842987,2,"NONE"
14842987,3,"NONE"
14842987,4,"UNKNOWN"
14843028,1,"NONE"
14843038,1,"NONE"
14843038,2,"NONE"
14843082,1,"NONE"
14843083,1,"UNLICENSED"
14843087,1,"NONE"
14843087,2,"OTHER/OUT OF STATE"
14843094,1,"NONE"
14843094,2,"NONE"
14843104,1,"NONE"
14843120,1,"WITH CORRECTIVE LENSES"
14843120,2,"NONE"
14843120,3,"NONE"
14843127,1,"WITH CORRECTIVE LENSES"
14843129,1,"NONE"
14843129,2,"WITH CORRECTIVE LENSES"
14843129,3,"OTHER/OUT OF STATE"
14843133,1,"NONE"
14843133,2,"UNLICENSED"
14843133,3,"UNLICENSED"
14843152,1,"WITH CORRECTIVE LENSES"
14843152,2,"NONE"
14843169,1,"NONE"
14843193,1,"UNLICENSED"
14843193,2,"NONE"
14843202,1,"NONE"
14843202,2,"NONE"
14843205,1,"UNLICENSED"
14843214,1,"NONE"
14843214,2,"NONE"
14843230,1,"WITH CORRECTIVE LENSES"
14843230,2,"NONE"
14843233,1,"NONE"
14843236,1,"WITH CORRECTIVE LENSES"
14843238,1,"NONE"
14843246,1,"IGNITION INTERLOCK REQUIRED (EFF. END 12/31/2016)"
14843246,2,"NONE"
14843247,1,"UNLICENSED"
14843254,1,"NONE"
14843254,2,"NONE"
14843260,1,"NONE"
14843268,1,"NONE"
14843268,2,"NONE"
14843283,1,"WITH CORRECTIVE LENSES"
14843289,1,"UNLICENSED"
14843289,2,"NONE"
14843298,1,"NONE"
14843298,2,"NONE"
14843300,1,"NONE"
14843300,2,"NONE"
14843301,1,"NONE"
14843301,2,"NONE"
14843327,1,"NONE"
14843341,1,"NONE"
14843420,1,"NONE"
14843420,2,"WITH CORRECTIVE LENSES"
14843492,1,"NONE"
14843492,2,"WITH CORRECTIVE LENSES"
14843518,1,"NONE"
14843518,2,"WITH CORRECTIVE LENSES"
14843565,1,"NONE"
14843565,2,"WITH CORRECTIVE LENSES"
14843946,1,"WITH CORRECTIVE LENSES"
14843946,2,"NONE"
14844188,1,"UNLICENSED"
14844270,1,"WITH CORRECTIVE LENSES"
14844270,2,"WITH CORRECTIVE LENSES"
14844315,1,"WITH CORRECTIVE LENSES"
14844315,2,"NONE"
14844315,3,"WITH CORRECTIVE LENSES"
14844320,1,"NONE"
14844326,1,"UNLICENSED"
14844327,1,"NONE"
14844328,1,"UNLICENSED"
14844329,1,"UNLICENSED"
14844329,2,"WITH CORRECTIVE LENSES"
14844338,1,"OTHER/OUT OF STATE"
14844344,1,"NONE"
14844353,1,"NONE"
14844356,1,"WITH CORRECTIVE LENSES"
14844356,1,"MC NOT TO EXCEED 250 CC"
14844370,1,"NONE"
14844383,1,"NONE"
14844383,2,"WITH CORRECTIVE LENSES"
14844384,1,"NONE"
14844384,2,"NONE"
14844386,1,"WITH CORRECTIVE LENSES"
14844386,2,"WITH CORRECTIVE LENSES"
14844412,1,"NONE"
14844412,2,"WITH CORRECTIVE LENSES"
14844422,1,"NONE"
14844422,2,"NONE"
14844422,3,"WITH CORRECTIVE LENSES"
14844448,1,"NONE"
14844455,1,"WITH CORRECTIVE LENSES"
14844455,2,"WITH CORRECTIVE LENSES"
14844455,2,"HME EXPIRATION DATE MM/DD/YY"
14844460,1,"NONE"
14844460,2,"NONE"
14844460,3,"WITH CORRECTIVE LENSES"
14844463,1,"UNLICENSED"
14844463,2,"NONE"
14844463,3,"WITH CORRECTIVE LENSES"
14844464,1,"WITH CORRECTIVE LENSES"
14844464,2,"WITH CORRECTIVE LENSES"
14844464,3,"NONE"
14844464,4,"NONE"
14844471,1,"NONE"
14844471,2,"NONE"
14844471,3,"UNKNOWN"
14844479,1,"UNLICENSED"
14844479,3,"NONE"
14844480,1,"UNKNOWN"
14844480,2,"UNKNOWN"
14844480,3,"UNKNOWN"
14844480,4,"UNKNOWN"
14844485,1,"NONE"
14844485,2,"WITH CORRECTIVE LENSES"
14844485,3,"WITH CORRECTIVE LENSES"
14844490,1,"NONE"
14844490,2,"WITH CORRECTIVE LENSES"
14844506,1,"WITH CORRECTIVE LENSES"
14844506,2,"NONE"
14844508,1,"NONE"
14844508,2,"NONE"
14844516,1,"WITH CORRECTIVE LENSES"
14844516,2,"NONE"
14844520,1,"NONE"
14844523,1,"UNLICENSED"
14844535,1,"NONE"
14844538,1,"UNKNOWN"
14844538,2,"NONE"
14844539,1,"NONE"
14844556,1,"WITH CORRECTIVE LENSES"
14844572,1,"WITH CORRECTIVE LENSES"
14844572,1,"LOFS 21 OR OVER"
14844572,2,"NONE"
14844577,1,"WITH CORRECTIVE LENSES"
14844577,2,"NONE"
14844587,1,"WITH CORRECTIVE LENSES"
14844587,2,"WITH CORRECTIVE LENSES"
14844590,1,"NONE"
14844590,2,"NONE"
14844642,1,"OTHER/OUT OF STATE"
14844642,2,"NONE"
14844653,1,"NONE"
14844653,2,"NONE"
14844680,1,"NONE"
14844680,2,"NONE"
14844685,1,"NONE"
14844685,2,"WITH CORRECTIVE LENSES"
14844700,1,"NONE"
14844700,2,"NONE"
14844708,1,"NONE"
14844708,2,"UNLICENSED"
14844749,1,"NONE"
14844760,1,"UNLICENSED"
14844762,1,"NONE"
14844762,3,"UNLICENSED"
14844780,1,"NONE"
14844780,2,"NO AIR BRAKE EQUIPPED CMV"
14844798,1,"NONE"
14844798,2,"NONE"
14844814,1,"NONE"
14844814,2,"WITH CORRECTIVE LENSES"
14844820,1,"NONE"
14844820,3,"UNLICENSED"
14844822,1,"NONE"
14844837,1,"OTHER/OUT OF STATE"
14844837,3,"NONE"
14844838,1,"NONE"
14844838,2,"NONE"
14844840,1,"NONE"
14844840,2,"UNLICENSED"
14844970,1,"NONE"
14844970,2,"NONE"
14844984,1,"WITH CORRECTIVE LENSES"
14844984,2,"NONE"
14844998,1,"WITH CORRECTIVE LENSES"
14844998,3,"NONE"
14845008,1,"WITH CORRECTIVE LENSES"
14845037,1,"NONE"
14845052,1,"NONE"
14845052,2,"NONE"
14845066,1,"NONE"
14845066,2,"NONE"
14845104,1,"NONE"
14845104,2,"NONE"
14845137,1,"NONE"
14845142,1,"NONE"
14845142,2,"NONE"
14845150,1,"UNKNOWN"
14845202,1,"NONE"
14845202,2,"NONE"
14845208,1,"WITH CORRECTIVE LENSES"
14845208,2,"NONE"
14845218,1,"NONE"
14845218,2,"NONE"
14845224,1,"NONE"
14845225,1,"NONE"
14845235,1,"NONE"
14845235,2,"UNLICENSED"
14845257,1,"NONE"
14845265,1,"NONE"
14845269,1,"NONE"
14845269,2,"NONE"
14845274,1,"NONE"
14845274,2,"NONE"
14845274,3,"UNKNOWN"
14845277,1,"NONE"
14845277,2,"NONE"
14845290,1,"WITH CORRECTIVE LENSES"
14845312,1,"NONE"
14845312,2,"NONE"
14845330,1,"UNLICENSED"
14845333,1,"OTHER/OUT OF STATE"
14845333,2,"NONE"
14845348,1,"OTHER/OUT OF STATE"
14845348,2,"WITH CORRECTIVE LENSES"
14845367,1,"UNLICENSED"
14845367,2,"NONE"
14845367,3,"NONE"
14845373,1,"OTHER/OUT OF STATE"
14845373,3,"NONE"
14845390,1,"NONE"
14845393,1,"NONE"
14845393,2,"NONE"
14845404,1,"NONE"
14845404,2,"OUTSIDE REARVIEWMIRROR OR HEARING AID"
14845405,1,"NONE"
14845405,2,"NONE"
14845405,3,"NONE"
14845408,1,"NONE"
14845408,2,"NONE"
14845408,3,"NONE"
14845420,1,"NONE"
14845421,1,"NONE"
14845421,2,"WITH CORRECTIVE LENSES"
14845428,1,"NONE"
14845428,2,"NONE"
14845438,1,"NONE"
14845441,1,"NONE"
14845441,2,"OTHER/OUT OF STATE"
14845451,1,"NONE"
14845451,2,"UNLICENSED"
14845451,3,"OTHER/OUT OF STATE"
14845464,1,"OTHER/OUT OF STATE"
14845464,2,"NONE"
14845479,1,"NONE"
14845494,1,"UNLICENSED"
14845494,2,"NONE"
14845503,1,"NONE"
14845503,2,"UNKNOWN"
14845513,1,"UNLICENSED"
14845535,1,"NONE"
14845535,2,"UNLICENSED"
14845561,1,"NONE"
14845561,2,"NONE"
14845591,1,"UNLICENSED"
14845591,2,"NONE"
14845627,1,"NONE"
14845634,1,"WITH CORRECTIVE LENSES"
14845634,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14845634,2,"NONE"
14845636,1,"WITH CORRECTIVE LENSES"
14845636,2,"UNLICENSED"
14845657,1,"NONE"
14845657,2,"NONE"
14845668,1,"UNKNOWN"
14845668,2,"NONE"
14845669,1,"CDL INTRASTATE ONLY (EFF. END 12/31/2016)"
14845671,1,"WITH CORRECTIVE LENSES"
14845671,1,"HME EXPIRATION DATE MM/DD/YY"
14845671,3,"UNLICENSED"
14845671,5,"NONE"
14845673,1,"NONE"
14845673,2,"NONE"
14845675,1,"WITH CORRECTIVE LENSES"
14845675,2,"NONE"
14845675,3,"NONE"
14845683,1,"NONE"
14845683,2,"NONE"
14845683,3,"NONE"
14845686,1,"UNLICENSED"
14845686,2,"UNLICENSED"
14845707,1,"UNLICENSED"
14845707,2,"NONE"
14845744,1,"NONE"
14845744,2,"NONE"
14845744,3,"NONE"
14845757,1,"NONE"
14845759,1,"WITH CORRECTIVE LENSES"
14845759,1,"UNKNOWN"
14845759,2,"NONE"
14845763,1,"UNLICENSED"
14845764,1,"WITH CORRECTIVE LENSES"
14845768,1,"NONE"
14845768,2,"NONE"
14845768,3,"NONE"
14845769,1,"UNLICENSED"
14845770,1,"NONE"
14845773,1,"NONE"
14845773,2,"NONE"
14845791,1,"WITH CORRECTIVE LENSES"
14845792,1,"WITH CORRECTIVE LENSES"
14845792,2,"NONE"
14845799,1,"NONE"
14845815,1,"NONE"
14845815,2,"NONE"
14845838,1,"UNLICENSED"
14845838,2,"UNKNOWN"
14845841,1,"UNLICENSED"
14845866,1,"NONE"
14845866,2,"NONE"
14845873,1,"NONE"
14845873,2,"NONE"
14845886,1,"WITH CORRECTIVE LENSES"
14845886,1,"IF CMV, SCHOOL BUSES INTERSTATE"
14845886,2,"WITH CORRECTIVE LENSES"
14845901,1,"NONE"
14845901,2,"OTHER/OUT OF STATE"
14845905,1,"UNLICENSED"
14845914,1,"NONE"
14845914,2,"UNLICENSED"
14845925,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14845925,2,"UNLICENSED"
14845934,1,"NONE"
14845934,2,"STATED ON LICENSE"
14845937,1,"NONE"
14845937,2,"NONE"
14845944,1,"WITH CORRECTIVE LENSES"
14845944,2,"WITH CORRECTIVE LENSES"
14845946,1,"NONE"
14845946,2,"WITH CORRECTIVE LENSES"
14845948,1,"NONE"
14845948,2,"NONE"
14845948,3,"WITH CORRECTIVE LENSES"
14845950,1,"NONE"
14845950,2,"NONE"
14845956,1,"WITH CORRECTIVE LENSES"
14845956,1,"STATED ON LICENSE"
14845966,1,"NONE"
14845966,2,"NONE"
14845970,1,"NONE"
14845970,2,"NONE"
14845972,1,"NONE"
14845972,2,"WITH CORRECTIVE LENSES"
14845973,1,"UNKNOWN"
14845975,1,"WITH CORRECTIVE LENSES"
14845975,2,"WITH CORRECTIVE LENSES"
14845977,1,"NONE"
14845979,1,"WITH CORRECTIVE LENSES"
14845996,1,"NONE"
14845996,2,"WITH CORRECTIVE LENSES"
14846029,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14846029,2,"UNLICENSED"
14846055,1,"NONE"
14846055,2,"UNLICENSED"
14846055,3,"NONE"
14846096,1,"WITH CORRECTIVE LENSES"
14846096,2,"NONE"
14846096,3,"WITH CORRECTIVE LENSES"
14846370,1,"OTHER/OUT OF STATE"
14846372,1,"NONE"
14846372,2,"UNLICENSED"
14846373,1,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14846373,2,"WITH CORRECTIVE LENSES"
14846377,1,"NONE"
14846377,2,"WITH CORRECTIVE LENSES"
14846381,1,"NONE"
14846381,2,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14846383,1,"UNLICENSED"
14846383,2,"NONE"
14846390,1,"NONE"
14846390,2,"NONE"
14846390,3,"NONE"
14846392,1,"NONE"
14846392,2,"WITH CORRECTIVE LENSES"
14846404,1,"NONE"
14846404,2,"NONE"
14846406,1,"WITH CORRECTIVE LENSES"
14846406,2,"WITH CORRECTIVE LENSES"
14846413,1,"NONE"
14846413,2,"UNLICENSED"
14846496,1,"UNKNOWN"
14846500,1,"UNLICENSED"
14846515,1,"NONE"
14846515,2,"WITH CORRECTIVE LENSES"
14846515,2,"TRC 545.424 APPLIES UNTIL MM/DD/YY"
14846535,1,"OTHER/OUT OF STATE"
14846535,2,"NONE"
14846536,1,"NONE"
14846545,1,"UNLICENSED"
14846545,2,"NONE"
14846564,1,"UNLICENSED"
14846568,1,"NONE"
14846568,2,"NONE"
14846604,1,"WITH CORRECTIVE LENSES"
14846604,2,"NONE"
14846610,1,"NONE"
14846610,2,"NONE"
14846612,1,"NONE"
14846612,2,"WITH CORRECTIVE LENSES"
14846614,1,"NONE"
14846614,2,"WITH CORRECTIVE LENSES"
14846614,3,"NONE"
14846619,1,"NONE"
14846619,2,"NONE"
14846627,1,"NONE"
14846627,2,"UNLICENSED"
14846632,1,"UNKNOWN"
14846632,2,"NONE"
14846632,3,"NONE"
14846636,1,"NONE"
14846636,2,"NONE"
14846663,1,"NONE"
14846663,2,"OTHER/OUT OF STATE"
14846663,3,"NONE"
14846664,1,"NONE"
